Method,Path,Controller,Auth,Role_Capability,Ownership_Check,DTO_Validation,Response_Data,Rate_Limit,Side_Effects,Idempotency,Test_Coverage
POST,/auth/otp/send,auth.controller.ts,none,guest,none,SendOtpDto,success message,5 req/min,generates OTP code + dispatches SMS,no,structural-only
POST,/auth/register,auth.controller.ts,none,guest,none,RegisterDto,tokens + user profile,none,creates user + increments tokenVersion,no,structural-only
POST,/auth/login,auth.controller.ts,none,guest,none,LoginDto,tokens + user profile,10 req/min,verifies password/OTP + issues JWT,no,structural-only
POST,/auth/refresh,auth.controller.ts,none,guest,none,RefreshTokenDto,new tokens,none,verifies refresh token + tokenVersion,no,structural-only
POST,/auth/logout,auth.controller.ts,JWT,user,yes (own),none,success message,none,increments tokenVersion,yes,structural-only
POST,/auth/forgot-password/reset,auth.controller.ts,none,guest,none,ResetPasswordDto,success message,none,updates password + increments tokenVersion,no,structural-only
POST,/auth/bootstrap-admin,auth.controller.ts,Secret,provisioning,none,BootstrapAdminDto,admin tokens,5 req/hour,promotes/creates admin + audit log,yes,test-wave-0.js
GET,/auth/me,auth.controller.ts,JWT,user,yes (own),none,user profile,none,none,yes,structural-only
GET,/listings,listings.controller.ts,none,guest,none,QueryListingsDto,listings items + pagination,none,none,yes,structural-only
GET,/listings/:idOrSlug,listings.controller.ts,none,guest,none,none,listing detail,none,increments viewCount (atomic),no,structural-only
POST,/listings,listings.controller.ts,JWT,user,none,CreateListingDto,created listing,none,creates listing pending + outbox event,no,structural-only
PATCH,/listings/:id,listings.controller.ts,JWT,user/admin,yes (owner or admin),UpdateListingDto,updated listing,none,updates listing + resets verification if core changed,no,structural-only
DELETE,/listings/:id,listings.controller.ts,JWT,user/admin,yes (owner or admin),none,success,none,marks listing as removed,yes,structural-only
POST,/listings/:id/images,listings.controller.ts,JWT,user/admin,yes (owner or admin),none,uploaded images,none,writes images to disk/CDN + resets verification,no,structural-only
DELETE,/listings/:id/images/:imageId,listings.controller.ts,JWT,user/admin,yes (owner or admin),none,success,none,deletes image record,yes,structural-only
POST,/listings/:id/reveal-phone,listings.controller.ts,JWT,user,none,none,full phone number,30 req/hour,creates PhoneRevealLog + atomic increment,yes (composite unique),structural-only
POST,/listings/:id/report,listings.controller.ts,none,guest/user,none,CreateListingReportDto,report status,5 req/min,creates report + outbox event,no,structural-only
GET,/listings/saved,listings.controller.ts,JWT,user,yes (own),QuerySavedListingsDto,saved listings list,none,none,yes,structural-only
POST,/listings/:id/save,listings.controller.ts,JWT,user,none,none,success,none,creates SavedListing record,yes (upsert/unique),structural-only
DELETE,/listings/:id/save,listings.controller.ts,JWT,user,yes (own),none,success,none,deletes SavedListing record,yes,structural-only
GET,/listings/saved-searches,listings.controller.ts,JWT,user,yes (own),none,saved searches list,none,none,yes,structural-only
POST,/listings/saved-searches,listings.controller.ts,JWT,user,none,CreateSavedSearchDto,saved search,none,saves search query,no,structural-only
DELETE,/listings/saved-searches/:id,listings.controller.ts,JWT,user,yes (own),none,success,none,deletes saved search,yes,structural-only
POST,/leads,leads.controller.ts,none,guest/user,none,CreateLeadDto,success message,10 req/min,dedupes sha256 + creates lead + outbox,yes (composite dedupeKey),test-wave-1.js
GET,/leads/mine,leads.controller.ts,JWT,user,yes (own listings),none,seller leads list,none,none,yes,structural-only
GET,/memberships/plans,membership.controller.ts,none,guest,none,none,active plans list,none,none,yes,test-membership-logic.ts
GET,/memberships/my-membership,membership.controller.ts,JWT,user,yes (own),none,membership quota + expiry,none,none,yes,test-membership-logic.ts
POST,/memberships/request,membership.controller.ts,JWT,user,none,RequestMembershipDto,pending request + bank details,none,snapshots plan + pending UserMembership,no,test-membership-logic.ts
GET,/admin/dashboard,admin.controller.ts,JWT,admin,none,none,system dashboard metrics,none,none,yes,structural-only
GET,/admin/listings/pending,admin.controller.ts,JWT,admin,none,none,pending listings,none,none,yes,structural-only
POST,/admin/listings/:id/approve,admin.controller.ts,JWT,admin,none,none,success,none,CAS update to active + outbox event,yes,structural-only
POST,/admin/listings/:id/reject,admin.controller.ts,JWT,admin,none,RejectListingDto,success,none,sets rejected + audit event,yes,structural-only
POST,/admin/listings/:id/verify,admin.controller.ts,JWT,admin,none,none,success,none,sets verificationStatus=da_xac_thuc,yes,structural-only
